City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
298,Tarakan,ID,80.1,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
299,Itacare,BR,69.69,clear sky,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
300,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
304,Palaiokomi,GR,76.68,clear sky,40.8667,23.9,Ιωσηφιδου ελενη
305,Aksu,CN,69.6,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
306,Banda Aceh,ID,79.61,overcast clouds,5.5577,95.3222,Sulthan Hotel International
308,Voykove,UA,73.89,overcast clouds,45.3826,36.4372,Yuzhnaya
309,Krasnokamensk,RU,69.44,clear sky,50.0979,118.0369,Tsentral'naya
310,Port-Gentil,GA,76.73,overcast clouds,-0.7193,8.7815,Fengshui Residence
312,Sinnamary,GF,76.3,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
