City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
196,Hilo,US,19.7297,-155.09,82.13,75,75,11.5,broken clouds
197,Hofn,IS,64.2539,-15.2082,52.92,92,100,0.56,overcast clouds
198,Puerto Madryn,AR,-42.7692,-65.0385,60.67,28,100,22.82,overcast clouds
199,Ambunti,PG,-4.2365,142.8448,87.58,64,95,0.56,overcast clouds
200,Aksay,RU,47.26,39.87,68.74,89,99,2.89,overcast clouds
201,Kashi,CN,39.4547,75.9797,74.23,24,40,6.71,scattered clouds
202,Khatanga,RU,71.9667,102.5,57.83,58,100,16.55,overcast clouds
203,Thompson,CA,55.7435,-97.8558,68.16,52,75,10.36,broken clouds
204,Cooma,AU,-36.2333,149.1333,55.17,35,0,23.02,clear sky
205,Sulangan,PH,11.1373,123.7228,82.85,75,92,3.06,overcast clouds
206,Baykit,RU,61.67,96.37,59.07,79,100,2.1,overcast clouds
207,General Roca,AR,-39.0333,-67.5833,50.4,19,100,3.69,light rain
208,Zhaotong,CN,27.3167,103.7167,64.51,89,99,3.74,overcast clouds
209,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,64.99,59,0,2.24,clear sky
210,Okhotsk,RU,59.3833,143.3,65.62,80,100,4.56,overcast clouds
211,Caravelas,BR,-17.7125,-39.2481,69.8,88,20,5.37,few clouds
212,Mahebourg,MU,-20.4081,57.7,66.49,77,40,11.5,light rain
213,Nhulunbuy,AU,-12.2333,136.7667,84.81,54,40,17.27,scattered clouds
214,Hearst,CA,49.6835,-83.6665,75.45,55,28,10.13,scattered clouds
215,Natal,BR,-5.795,-35.2094,74.05,83,0,8.05,clear sky
216,Keti Bandar,PK,24.1447,67.4497,79.48,81,98,14.09,overcast clouds
217,Shieli,KZ,44.1667,66.75,65.86,36,0,7.76,clear sky
218,Chagoda,RU,59.164,35.3285,53.26,98,73,7.61,broken clouds
219,Olafsvik,IS,64.8945,-23.7142,53.26,89,100,10.51,overcast clouds
220,Kuala Terengganu,MY,5.3302,103.1408,80.55,89,20,3.44,few clouds
221,Kamina,CD,-8.7386,24.9906,63.43,38,0,4.94,clear sky
222,Maceio,BR,-9.6658,-35.7353,72.84,83,75,4.61,broken clouds
223,Ndende,GA,-2.4008,11.3581,72.9,86,19,3.04,few clouds
224,Fougamou,GA,-1.2154,10.5838,73.67,87,23,2.84,few clouds
225,Ogdensburg,US,44.6942,-75.4863,65.12,85,20,0.0,few clouds
226,Camacha,PT,33.0833,-16.3333,83.16,88,20,17.27,few clouds
227,Cuamba,MZ,-14.8031,36.5372,61.0,83,0,5.55,clear sky
228,Broome,US,42.2506,-75.833,66.7,82,1,1.99,clear sky
229,Gebze,TR,40.8028,29.4307,71.8,88,0,6.91,clear sky
230,Bloemfontein,ZA,-29.1211,26.214,40.48,100,0,3.44,fog
231,Esperance,AU,-33.8667,121.9,51.64,79,0,9.04,clear sky
232,Nchelenge,ZM,-9.3451,28.734,67.77,49,20,6.62,few clouds
233,Kampot,KH,10.6167,104.1833,78.85,70,15,1.95,few clouds
234,Guerrero Negro,MX,27.9769,-114.0611,75.16,70,6,17.13,clear sky
235,Abashiri,JP,44.0213,144.2697,70.09,64,75,9.22,broken clouds
236,Verkhnevilyuysk,RU,63.4453,120.3167,55.49,80,97,4.9,overcast clouds
237,Yulara,AU,-25.2406,130.9889,66.04,19,90,18.41,overcast clouds
238,Norrtalje,SE,59.758,18.705,57.43,83,100,6.85,overcast clouds
239,Port Lincoln,AU,-34.7333,135.8667,56.35,67,100,9.73,overcast clouds
240,Elat,IL,29.5581,34.9482,82.22,45,0,8.03,clear sky
241,Yumen,CN,40.2833,97.2,73.99,34,8,20.54,clear sky
242,Nara,JP,34.6851,135.8049,79.92,84,100,1.97,overcast clouds
243,Lasa,IT,46.6166,10.7002,68.88,83,100,3.27,overcast clouds
244,Askiz,RU,53.1319,90.5264,60.6,90,98,1.99,overcast clouds
245,Umba,RU,66.6871,34.3429,53.19,94,100,9.31,overcast clouds
246,Praia,CV,14.9215,-23.5087,79.34,89,20,16.11,few clouds
247,Road Town,VG,18.4167,-64.6167,81.19,81,100,19.3,overcast clouds
248,Dunedin,NZ,-45.8742,170.5036,56.8,43,100,18.01,overcast clouds
249,Bumba,CD,2.1833,22.4667,69.73,95,45,2.04,scattered clouds
250,Souillac,MU,-20.5167,57.5167,66.58,77,40,11.5,scattered clouds
251,Olga,RU,43.7444,135.2892,70.45,61,10,5.48,clear sky
252,Chicama,PE,-7.8447,-79.1469,61.34,82,98,6.62,overcast clouds
253,Grand-Lahou,CI,5.1367,-5.0242,73.71,86,88,6.49,overcast clouds
254,Finnsnes,NO,69.2296,17.9811,48.81,87,100,2.62,overcast clouds
255,Coihaique,CL,-45.5752,-72.0662,40.95,93,90,3.44,light intensity shower rain
256,Boguchany,RU,58.3814,97.4531,62.2,66,63,4.18,broken clouds
257,Kamloops,CA,50.6665,-120.3192,84.58,31,75,5.01,smoke
258,Slave Lake,CA,55.2834,-114.769,75.18,46,75,3.44,broken clouds
259,Fushun,CN,41.8558,123.9233,73.11,83,100,2.95,light rain
260,Baculin,PH,7.4525,126.5842,80.28,81,100,4.68,light rain
261,Sarangani,PH,5.4033,125.4636,82.9,74,88,14.29,moderate rain
262,Sambava,MG,-14.2667,50.1667,66.45,80,19,12.53,few clouds
263,Trenggalek,ID,-8.05,111.7167,77.2,83,60,7.29,broken clouds
264,Lavrentiya,RU,65.5833,-171.0,42.51,87,100,6.04,overcast clouds
265,Mantua,IT,45.1667,10.7833,79.83,81,6,5.61,light rain
266,Noumea,NC,-22.2763,166.4572,73.38,57,46,13.38,scattered clouds
267,Haines Junction,CA,60.7522,-137.5108,62.55,42,93,5.75,overcast clouds
268,Sobolevo,RU,54.4299,31.8996,59.22,77,93,4.41,overcast clouds
269,Chaohu,CN,31.6,117.8667,77.11,93,100,0.67,overcast clouds
270,Bari,IT,41.1177,16.8512,80.87,43,0,3.44,clear sky
271,Kishtwar,IN,33.3167,75.7667,58.57,70,0,5.06,clear sky
272,Dudinka,RU,69.4058,86.1778,53.92,96,100,15.1,light rain
273,Great Falls,US,47.5002,-111.3008,94.39,16,1,17.27,clear sky
274,Severo-Kurilsk,RU,50.6789,156.125,57.83,84,34,13.78,scattered clouds
275,Kichera,RU,55.9375,110.0997,71.22,52,100,3.83,overcast clouds
276,Pingzhuang,CN,42.0372,119.2889,66.83,88,100,3.47,overcast clouds
277,Quatre Cocos,MU,-20.2078,57.7625,66.31,75,100,15.21,light rain
278,Pevek,RU,69.7008,170.3133,32.77,96,100,5.1,overcast clouds
279,Mwinilunga,ZM,-11.7358,24.4293,58.03,47,0,4.54,clear sky
280,Ruteng,ID,-8.6136,120.4721,71.17,56,5,1.41,clear sky
281,Chandrakona,IN,22.7333,87.5167,82.38,88,78,3.91,broken clouds
282,Berlevag,NO,70.8578,29.0864,45.34,81,100,13.47,overcast clouds
283,Murska Sobota,SI,46.6625,16.1664,69.21,86,2,3.44,clear sky
284,Sao Francisco,BR,-15.9486,-44.8644,75.49,35,85,0.96,overcast clouds
285,Kavieng,PG,-2.5744,150.7967,83.79,73,92,7.38,light rain
286,Victoria,HK,22.2855,114.1577,88.97,84,7,5.61,clear sky
287,Aitape,PG,-3.1374,142.3475,85.53,64,54,4.9,broken clouds
288,Astana,KZ,51.1801,71.446,55.35,71,0,4.47,clear sky
289,Chokwe,MZ,-24.5333,32.9833,58.32,84,0,2.39,clear sky
290,Guane,CU,22.2025,-84.0875,78.85,86,98,4.63,overcast clouds
291,Cabras,IT,39.93,8.5314,75.69,55,0,2.75,clear sky
292,Inirida,CO,3.8653,-67.9239,72.61,97,17,0.76,few clouds
293,Berga,NO,60.392,5.328,54.64,100,75,3.44,broken clouds
294,Mount Isa,AU,-20.7333,139.5,78.57,22,0,16.11,clear sky
295,Salina Cruz,MX,16.1667,-95.2,83.35,72,57,5.82,broken clouds
296,Ampanihy,MG,-24.7,44.75,58.51,81,0,11.65,clear sky
297,Yuncheng,CN,35.0231,110.9928,75.67,74,100,4.92,overcast clouds
298,Tarakan,ID,3.3,117.6333,80.1,89,75,3.44,broken clouds
299,Itacare,BR,-14.2775,-38.9967,69.69,80,5,6.51,clear sky
300,Nouadhibou,MR,20.931,-17.0347,71.58,94,0,11.5,clear sky
301,Lokosovo,RU,61.1333,74.8167,58.46,78,6,4.85,clear sky
302,Shirokiy,RU,49.758,129.523,72.12,73,0,3.24,clear sky
303,Komsomolskiy,UZ,40.4272,71.7189,65.12,32,0,2.3,clear sky
304,Palaiokomi,GR,40.8667,23.9,76.68,51,0,1.48,clear sky
305,Aksu,CN,41.1231,80.2644,69.6,41,100,4.43,overcast clouds
306,Banda Aceh,ID,5.5577,95.3222,79.61,76,100,8.16,overcast clouds
307,Zastron,ZA,-30.3023,27.084,42.46,77,0,5.55,clear sky
308,Voykove,UA,45.3826,36.4372,73.89,82,100,14.32,overcast clouds
309,Krasnokamensk,RU,50.0979,118.0369,69.44,67,0,2.59,clear sky
